EDICAO;TEMPORADA;FO;DIST TOTAL;TEMPO MELHOR FO
masculina;21-22;82242;82242;41
masculina;21-22;82173;82173;151
masculina;21-22;80140;80140;108
masculina;21-22;83895;83895;274
masculina;21-22;82051;82051;79
masculina;21-22;80646;80646;295
masculina;21-22;79675;79675;43
masculina;21-22;80626;80626;12
masculina;21-22;80978;80978;35
masculina;21-22;78706;78706;228
masculina;22-23;137250;137250;22
masculina;22-23;136518;136518;62
masculina;22-23;136403;136403;166
masculina;22-23;136908;136908;198
masculina;22-23;134993;134993;163
masculina;22-23;136011;136011;206
masculina;22-23;135519;135519;58
masculina;22-23;133092;133092;37
masculina;22-23;137122;137122;105
masculina;22-23;135224;135224;12
masculina;23-24;86059;86059;285
masculina;23-24;83469;83469;24
masculina;23-24;85954;85954;16
masculina;23-24;85567;85567;96
masculina;23-24;85714;85714;221
masculina;23-24;85130;85130;63
masculina;23-24;86346;86346;14
masculina;23-24;85363;85363;233
masculina;23-24;89306;89306;42
masculina;23-24;89215;89215;3
masculina;24-25;74759;74759;298
masculina;24-25;77227;77227;9
masculina;24-25;73735;73735;98
masculina;24-25;73879;73879;173
masculina;24-25;77435;77435;138
masculina;24-25;72998;72998;26
masculina;24-25;73377;73377;231
masculina;24-25;78038;78038;70
masculina;24-25;73262;73262;61
masculina;24-25;74694;74694;24
feminina;21-22;72930;72930;115
feminina;21-22;77260;77260;201
feminina;21-22;73442;73442;15
feminina;21-22;72568;72568;172
feminina;21-22;73442;73442;135
feminina;21-22;78754;78754;16
feminina;21-22;77747;77747;92
feminina;21-22;74941;74941;18
feminina;21-22;77499;77499;280
feminina;21-22;73376;73376;75
feminina;22-23;77108;77108;252
feminina;22-23;77318;77318;104
feminina;22-23;77711;77711;3
feminina;22-23;76745;76745;49
feminina;22-23;76745;76745;6
feminina;22-23;77108;77108;11
feminina;22-23;77711;77711;5
feminina;22-23;77737;77737;123
feminina;22-23;76745;76745;73
feminina;22-23;77711;77711;10
feminina;23-24;76898;76898;48
feminina;23-24;77270;77270;54
feminina;23-24;76479;76479;47
feminina;23-24;76953;76953;205
feminina;23-24;77033;77033;298
feminina;23-24;76290;76290;78
feminina;23-24;79327;79327;293
feminina;23-24;77607;77607;116
feminina;23-24;82407;82407;72
feminina;23-24;79973;79973;92
feminina;24-25;89787;89787;287
feminina;24-25;89305;89305;173
feminina;24-25;85476;85476;280
feminina;24-25;87627;87627;25
feminina;24-25;89969;89969;25
feminina;24-25;88885;88885;10
feminina;24-25;86024;86024;44
feminina;24-25;86731;86731;209
feminina;24-25;86700;86700;115
feminina;24-25;88660;88660;20
